run_id,family,mode,binary_run_label,window_label,nodes,seed,window_start_s,window_end_s,post_activation,app_tx_delta,app_rx_delta,app_missed_delta,app_reporting_nodes,parent_found_events,no_parent_events,radio_tx_count,radio_bytes,radio_interfered_count,unique_radio_senders,attacker_node16_radio_tx,root_node1_radio_tx,sinkhole_attack_enabled_events,sinkhole_advertised_rank_events,blackhole_attack_enabled_events,blackhole_drop_events
SH_CONTROL_N16_SEED345678,sinkhole,control,0,0,16,345678,120,180,0,140,139,0,14,0,0,1054,39044,2212,16,336,170,0,0,0,0
SH_CONTROL_N16_SEED345678,sinkhole,control,0,0,16,345678,180,240,0,40,40,0,4,0,0,1050,38894,2266,16,338,174,0,0,0,0
SH_CONTROL_N16_SEED345678,sinkhole,control,0,0,16,345678,240,300,1,100,100,0,10,0,0,1087,40173,2267,16,351,177,0,0,0,0
SH_CONTROL_N16_SEED345678,sinkhole,control,0,0,16,345678,300,360,1,110,110,0,11,0,0,1040,37966,2211,16,335,169,0,0,0,0
SH_CONTROL_N16_SEED345678,sinkhole,control,0,0,16,345678,360,420,1,30,30,0,3,0,0,1048,38020,2171,16,340,172,0,0,0,0
SH_CONTROL_N16_SEED345678,sinkhole,control,0,0,16,345678,420,480,1,140,140,0,14,0,0,1045,38334,2170,16,340,171,0,0,0,0
SH_CONTROL_N16_SEED345678,sinkhole,control,0,0,16,345678,480,540,1,50,50,0,5,0,0,1031,37821,2141,16,333,169,0,0,0,0
SH_CONTROL_N16_SEED456789,sinkhole,control,0,0,16,456789,0,60,0,0,0,0,0,15,15,537,24301,1226,16,162,81,0,0,0,0
SH_CONTROL_N16_SEED456789,sinkhole,control,0,0,16,456789,60,120,0,0,0,0,0,0,0,1080,40683,2392,16,340,172,0,0,0,0
SH_CONTROL_N16_SEED456789,sinkhole,control,0,0,16,456789,120,180,0,140,140,0,14,0,0,1092,40371,2467,16,353,178,0,0,0,0
SH_CONTROL_N16_SEED456789,sinkhole,control,0,0,16,456789,180,240,0,40,40,0,4,0,0,1043,38137,2348,16,339,169,0,0,0,0
